"AGREEMENT_RK","TARGET","CLIENT_ID","AGE","SOCSTATUS_WORK_FL","SOCSTATUS_PENS_FL","GENDER","CHILD_TOTAL","DEPENDANTS","PERSONAL_INCOME","LOAN_NUM_TOTAL","LOAN_NUM_CLOSED"
62603727,0,106810158,35,1,0,1,2,2,4300.0,1,0
61440848,0,106807492,46,1,0,1,0,0,4300.0,2,1
66747619,1,106814658,25,1,0,1,2,2,4300.0,1,1
62094012,0,106808885,35,1,0,1,2,2,4300.0,1,0
60468612,0,106805732,39,1,0,1,1,1,4300.0,2,1
61365595,0,106807146,50,1,0,1,4,1,4300.0,1,0
60457113,0,106805627,48,1,0,1,2,0,4300.0,1,0
74959591,0,106819012,39,1,0,1,2,1,4300.0,2,2
61241013,0,106806672,50,1,0,1,2,1,4300.0,1,0
61370138,0,106807184,56,1,0,0,0,0,4300.0,1,1
62365867,0,106809467,57,0,1,1,5,0,4300.0,1,0
61523109,1,106807768,39,1,0,1,3,2,4300.0,1,0
74658663,0,106818680,31,1,0,1,2,2,4300.0,3,3
61834739,0,106807943,52,1,0,1,1,0,4300.0,1,0
64824070,0,106812636,51,1,0,1,0,0,4300.0,1,0
60113523,0,106805211,53,1,0,1,2,0,4300.0,1,1
64462338,0,106812284,49,1,0,1,2,2,4300.0,1,0
64551136,0,106812379,28,1,0,1,1,1,4300.0,1,1
62238824,0,106809266,57,0,1,1,2,0,4300.0,1,0
62238824,0,106809266,57,0,1,1,2,0,4300.0,1,0
63990293,0,106811622,30,1,0,1,0,0,4300.0,1,0
66087984,0,106813712,23,1,0,1,0,0,4300.0,1,1
66916997,0,106815352,29,1,0,1,1,1,4300.0,1,0
60106925,0,106805156,52,1,0,1,0,0,4300.0,1,0
61530444,0,106807827,36,1,0,1,0,0,4300.0,1,0
61925188,0,106808219,27,1,0,1,2,2,4300.0,1,1
59939180,0,106804634,63,0,1,0,0,0,4300.0,1,1
74949236,1,106818951,54,1,0,0,3,0,4330.0,1,1
61468104,0,106807669,29,1,0,1,2,2,4330.0,1,0
73829778,0,106817452,51,0,1,0,1,0,4330.0,1,0
73844606,0,106817569,46,1,0,1,0,0,4340.0,1,0
74942542,0,106818930,43,1,0,1,2,2,4360.0,2,2
66913635,0,106815332,57,0,1,0,3,0,4400.0,2,1
74025823,0,106817747,53,0,1,1,7,1,4400.0,1,0
66082968,0,106813676,22,1,0,1,0,0,4400.0,2,2
62146167,0,106809060,45,1,0,1,1,1,4400.0,1,0
66830155,0,106814956,31,1,0,1,1,1,4400.0,1,1
60099759,1,106805108,46,1,0,1,2,0,4400.0,1,0
61079617,0,106805993,42,1,0,1,2,2,4500.0,1,1
66926769,0,106815435,38,1,0,0,2,2,4500.0,2,2
66333423,0,106814013,60,0,1,1,2,0,4500.0,2,2
74167296,0,106817855,42,0,1,1,0,0,4500.0,2,2
74034480,1,106817794,49,1,0,1,0,0,4500.0,1,0
74034480,1,106817794,49,1,0,1,0,0,4500.0,1,0
74031709,0,106817778,36,1,0,1,2,2,4500.0,1,1
66852723,0,106815093,32,1,0,1,1,1,4500.0,2,1
60377639,0,106805305,42,1,0,0,2,2,4500.0,1,0
66197372,1,106813852,23,1,0,1,1,1,4500.0,1,0
60046341,0,106804833,45,1,0,0,1,1,4500.0,1,0
66196925,0,106813845,32,1,0,1,1,1,4500.0,1,0
66753366,0,106814704,32,1,0,1,2,2,4500.0,2,2
74250745,0,106818019,39,1,0,1,1,1,4500.0,2,2
62168826,0,106809089,55,1,0,0,2,0,4500.0,1,0
61372321,1,106807205,61,0,1,1,3,0,4500.0,2,0
66746459,0,106814647,51,0,1,1,3,0,4500.0,1,1
63983043,0,106811568,33,1,0,1,2,2,4500.0,1,1
62999098,0,106810684,51,1,0,1,1,0,4500.0,1,0
66655590,0,106814379,37,1,0,1,2,2,4500.0,2,2
65500395,0,106813571,26,1,0,1,0,0,4500.0,1,1
62016178,0,106808549,27,1,0,1,0,0,4500.0,1,0
62016178,0,106808549,27,1,0,1,0,0,4500.0,1,0
62081110,0,106808787,58,0,1,1,0,0,4500.0,1,0
61520596,0,106807746,37,1,0,1,2,2,4500.0,1,0
63593057,0,106811103,30,1,0,1,2,2,4500.0,1,0
62024649,0,106808623,55,0,1,0,0,0,4500.0,1,0
64003406,0,106811706,44,1,0,1,1,1,4500.0,1,0
74190268,0,106817973,33,1,0,1,2,2,4500.0,2,2
61252167,1,106806774,35,1,0,1,0,0,4500.0,1,0
66918507,0,106815370,29,1,0,1,2,2,4500.0,1,0
65475940,0,106813477,26,1,0,1,2,2,4500.0,2,1
61540320,0,106807905,61,0,1,1,0,0,4500.0,1,0
74167186,0,106817853,35,1,0,1,3,3,4500.0,3,3
61876626,1,106808114,53,1,0,1,2,1,4500.0,1,0
74653186,0,106818624,55,1,0,1,3,0,4500.0,2,2
62078187,0,106808771,31,1,0,1,2,2,4500.0,1,0
65239297,0,106813191,57,0,1,1,5,0,4500.0,3,2
66524823,0,106814191,38,1,0,1,1,1,4500.0,3,3
61288783,0,106806839,62,0,1,0,3,0,4500.0,1,0
73846646,0,106817595,39,1,0,1,1,0,4500.0,1,0
66581067,0,106814281,58,0,1,0,0,0,4500.0,4,4
74013919,0,106817672,35,1,0,1,2,2,4500.0,2,0
65402711,0,106813334,26,1,0,1,1,1,4500.0,1,1
64428965,0,106812094,59,0,1,0,0,0,4500.0,1,0
61471771,0,106807690,39,1,0,1,2,1,4500.0,1,0
61534793,0,106807867,59,0,1,1,0,0,4500.0,1,1
62949927,0,106810566,32,1,0,1,1,1,4500.0,1,0
63591440,0,106811095,62,0,1,0,0,0,4500.0,1,0
63007605,0,106810738,42,1,0,0,2,2,4500.0,1,0
74478037,0,106818176,57,0,1,1,5,0,4500.0,1,1
75002191,1,106819172,49,1,0,1,2,0,4500.0,2,1
64428091,0,106812087,56,0,1,1,7,1,4500.0,1,0
74017708,0,106817694,24,1,0,1,2,2,4500.0,1,0
64272213,0,106811719,31,1,0,1,1,1,4500.0,1,1
65402758,0,106813336,23,1,0,1,0,0,4500.0,1,1
62433925,0,106809699,53,1,0,0,1,0,4500.0,1,0
59940316,0,106804644,61,0,1,1,2,0,4500.0,1,1
63591085,0,106811089,27,1,0,0,1,1,4500.0,1,0
61352620,0,106807057,33,1,0,1,2,2,4500.0,1,0
74170334,0,106817874,57,0,1,1,1,1,4500.0,3,3
63914817,1,106811481,34,1,0,1,2,2,4500.0,1,0
74527045,0,106818324,44,1,0,1,2,0,4500.0,1,1
74527045,0,106818324,44,1,0,1,2,0,4500.0,1,1
66708784,0,106814539,55,1,0,1,3,0,4500.0,2,1
59976454,0,106804760,43,1,0,1,0,0,4500.0,1,0
65215621,0,106813126,55,1,0,1,0,0,4500.0,1,0
60113610,0,106805213,49,1,0,1,3,0,4500.0,1,1
60465137,0,106805701,51,1,0,1,0,0,4500.0,1,1
74039945,0,106817828,44,1,0,1,1,1,4500.0,2,1
64566601,0,106812495,51,0,1,1,0,0,4500.0,1,0
72270256,0,106817106,23,1,0,1,0,0,4500.0,1,1
65417574,1,106813421,26,1,0,1,1,1,4500.0,1,1
65210742,0,106813105,47,1,0,1,2,0,4500.0,1,1
62023606,0,106808610,63,0,1,1,2,0,4500.0,1,0
61296349,0,106806897,62,0,1,1,2,0,4500.0,1,0
60387986,0,106805402,27,1,0,1,1,1,4500.0,1,0
66591213,0,106814331,30,1,0,1,2,2,4500.0,3,3
61427120,0,106807414,64,0,1,0,0,0,4500.0,1,0
72283412,1,106817192,53,1,0,1,3,0,4500.0,1,0
61297165,0,106806904,57,0,1,1,2,0,4500.0,1,0
74655782,0,106818652,52,0,1,1,2,0,4500.0,2,1
61456831,0,106807585,45,1,0,1,1,0,4500.0,2,2
60455472,0,106805611,54,0,1,1,2,0,4500.0,1,0
61125933,0,106806274,48,0,1,0,0,0,4500.0,1,0
74018454,0,106817699,56,0,1,0,2,0,4500.0,2,2
61065277,0,106805930,54,0,1,1,2,0,4500.0,1,1
61370149,0,106807185,53,0,1,1,3,0,4500.0,1,1
74027246,0,106817754,60,0,1,0,0,0,4500.0,1,0
64825431,0,106812647,56,0,1,0,0,0,4500.0,1,0
74032342,0,106817783,37,1,0,1,2,2,4500.0,2,0
65481790,0,106813495,23,1,0,1,2,2,4500.0,1,1
74031633,0,106817777,52,0,1,1,0,0,4500.0,1,0
74041303,0,106817835,26,1,0,1,2,2,4500.0,1,1
75291960,0,106819591,60,0,1,1,2,0,4500.0,1,0
66322461,0,106813939,59,0,1,0,0,0,4515.0,2,2
64427422,1,106812086,59,0,1,1,3,0,4590.0,1,0
62182666,0,106809175,54,1,0,1,3,0,4600.0,1,0
62386971,0,106809617,51,1,0,1,0,0,4600.0,1,0
64829112,0,106812673,53,1,0,1,2,0,4600.0,1,0
61299778,0,106806922,64,0,1,1,1,0,4600.0,1,0
64902250,1,106812924,47,1,0,1,2,0,4600.0,1,0
66667297,0,106814441,61,0,1,1,0,0,4600.0,2,2
66525872,0,106814199,56,0,1,1,0,0,4600.0,2,2
66200442,1,106813888,24,1,0,1,1,1,4600.0,1,0
72279563,0,106817162,58,0,1,1,0,0,4600.0,3,2
72279563,0,106817162,58,0,1,1,0,0,4600.0,3,2
63589787,0,106811082,58,0,1,0,2,0,4600.0,1,0
74193536,0,106818006,58,0,1,1,0,0,4600.0,2,2
59972881,0,106804729,52,0,1,1,2,1,4600.0,1,0
74191605,0,106817984,57,0,1,1,4,0,4700.0,1,1
66909988,0,106815303,27,1,0,1,2,2,4700.0,1,0
74009711,0,106817646,37,1,0,1,1,1,4700.0,2,1
61146613,0,106806379,61,0,1,0,0,0,4700.0,1,0
61377786,0,106807252,63,0,1,1,0,0,4700.0,1,0
61845906,0,106808017,61,0,1,0,2,0,4700.0,1,0
74021385,0,106817724,56,0,1,1,1,0,4700.0,1,0
61969042,0,106808482,45,1,0,1,2,0,4700.0,1,0
64564700,0,106812482,61,0,1,1,1,0,4700.0,2,0
61298430,0,106806913,42,1,0,1,4,0,4800.0,2,1
59918315,0,106804437,63,0,1,1,2,0,4800.0,1,1
61963519,0,106808440,38,1,0,1,2,0,4800.0,1,0
61230956,0,106806579,63,1,1,1,0,0,4800.0,1,0
62164440,0,106809075,59,0,1,0,3,1,4800.0,1,0
63333674,0,106811029,64,0,1,1,0,0,4800.0,1,0
61457063,0,106807587,57,0,1,1,3,0,4800.0,2,2
62089471,0,106808854,38,1,0,1,2,2,4800.0,1,0
65407531,0,106813358,25,1,0,1,1,0,4800.0,1,1
74484018,0,106818227,59,0,1,1,3,0,4800.0,2,2
66587622,0,106814313,40,1,0,1,0,0,4800.0,3,3
61107703,0,106806099,40,1,0,1,1,1,4800.0,1,1
64913375,0,106812988,29,1,0,1,0,0,4800.0,1,0
65396723,0,106813305,25,1,0,1,0,0,4900.0,1,1
60396642,0,106805454,63,0,1,1,0,0,4900.0,1,0
74188977,0,106817966,33,1,0,1,1,1,4900.0,1,1
66090020,1,106813723,24,1,0,1,1,1,4900.0,1,1
62595694,0,106810094,51,0,1,1,4,0,4900.0,1,0
61306349,0,106806965,57,0,1,1,0,0,4900.0,1,1
62144142,1,106809037,55,0,1,0,2,0,4950.0,1,0
59963195,0,106804669,61,0,1,1,0,0,4950.0,1,1
62178934,1,106809151,30,1,0,1,2,2,5000.0,1,0
61316755,0,106807036,52,1,0,1,0,0,5000.0,1,0
62809362,0,106810466,39,1,0,1,2,2,5000.0,1,0
61128012,0,106806287,34,1,0,1,4,4,5000.0,1,1
62386987,0,106809618,59,0,1,1,2,0,5000.0,1,0
74039205,0,106817823,32,1,0,1,0,0,5000.0,2,1
74035080,0,106817796,44,1,0,1,1,1,5000.0,2,1
63907021,0,106811415,61,0,1,1,0,0,5000.0,1,0
65241813,0,106813201,52,1,0,1,0,0,5000.0,1,1
64431399,0,106812109,34,1,0,1,1,1,5000.0,1,0
62600462,0,106810131,34,1,0,1,1,1,5000.0,1,0
74190998,0,106817981,61,0,1,1,2,0,5000.0,2,2
64433703,0,106812121,38,1,0,1,3,0,5000.0,1,0
62990423,0,106810611,34,1,0,1,3,3,5000.0,1,0
63095755,0,106810831,27,1,0,1,2,2,5000.0,1,0
60084780,0,106804986,42,1,0,1,3,3,5000.0,1,0
66850803,0,106815083,32,1,0,1,0,0,5000.0,2,2
62778818,0,106810357,53,1,0,1,0,0,5000.0,1,0
66744929,0,106814626,35,1,0,1,2,2,5000.0,3,3
64374779,0,106812016,41,1,0,1,2,2,5000.0,1,0
61228021,0,106806558,53,0,1,1,5,0,5000.0,1,0
62072888,0,106808732,60,1,1,1,0,0,5000.0,1,0
64588753,0,106812547,35,1,0,1,2,2,5000.0,1,1
74190751,0,106817980,52,1,0,1,2,0,5000.0,2,2
61917877,0,106808151,27,1,0,1,1,1,5000.0,1,1
62023965,0,106808613,27,1,0,1,1,1,5000.0,1,0
65400226,0,106813320,25,1,0,1,1,1,5000.0,1,1
62504291,0,106809982,55,1,0,0,1,1,5000.0,1,1
59910150,0,106804370,49,1,0,1,2,1,5000.0,1,1
59910150,0,106804370,49,1,0,1,2,1,5000.0,1,1
60083324,0,106804975,51,1,0,1,2,0,5000.0,1,0
59935139,0,106804594,60,1,1,1,0,0,5000.0,1,1
74994302,0,106819123,50,1,0,0,0,0,5000.0,1,1
74482308,0,106818213,24,1,0,1,1,1,5000.0,1,1
64371605,0,106811990,24,1,0,0,2,2,5000.0,1,1
61833876,0,106807936,50,1,0,1,2,0,5000.0,2,1
61317319,0,106807040,32,1,0,1,2,2,5000.0,1,0
66851282,0,106815089,34,1,0,0,0,0,5000.0,1,1
60052795,0,106804880,43,1,0,1,1,0,5000.0,1,0
61249853,0,106806750,54,0,1,1,0,0,5000.0,1,1
59915354,0,106804410,61,0,1,1,2,0,5000.0,1,1
65503340,0,106813592,22,1,0,1,1,1,5000.0,1,1
74190200,0,106817972,62,1,1,1,1,0,5000.0,1,1
61145667,0,106806371,60,0,1,1,0,0,5000.0,1,1
63982727,1,106811563,50,1,0,1,3,1,5000.0,2,1
64895431,0,106812882,27,1,0,1,0,0,5000.0,1,0
61238221,0,106806648,44,1,0,1,0,0,5000.0,1,0
63990181,0,106811620,27,1,0,1,0,0,5000.0,1,1
62259261,0,106809426,55,1,0,1,2,0,5000.0,1,0
62484669,0,106809827,63,0,1,1,0,0,5000.0,1,1
66715573,0,106814576,32,1,0,1,2,2,5000.0,2,2
60531745,0,106805803,60,0,1,1,0,0,5000.0,1,1
60447502,0,106805536,55,1,0,1,1,0,5000.0,1,0
74039832,0,106817826,63,0,1,1,2,0,5000.0,1,0
59939381,0,106804637,53,0,1,1,3,0,5000.0,1,1
60087666,0,106805004,56,0,1,1,1,1,5000.0,1,0
63902387,0,106811392,46,1,0,1,0,0,5000.0,1,0
74032939,0,106817786,28,1,0,1,1,1,5000.0,2,2
74166587,0,106817850,48,1,0,1,2,0,5000.0,2,2
61969845,0,106808488,27,1,0,1,1,1,5000.0,1,0
61353415,1,106807064,42,1,0,1,1,1,5000.0,1,0
74551094,0,106818438,40,1,0,1,2,2,5000.0,3,3
62075882,0,106808749,46,1,0,1,1,1,5000.0,1,0
66082647,0,106813672,45,0,1,0,1,1,5000.0,1,1
61964582,0,106808450,39,1,0,1,2,0,5000.0,1,0
74170195,0,106817873,32,1,0,1,1,1,5000.0,2,2
74037265,0,106817809,60,0,1,1,0,0,5000.0,2,2
61313173,0,106807012,39,1,0,1,2,2,5000.0,1,0
64596849,0,106812591,28,1,0,0,1,1,5000.0,1,1
61969145,0,106808483,48,0,1,1,1,1,5000.0,1,1
63908723,0,106811436,41,1,0,1,0,0,5000.0,1,0
66705847,0,106814530,30,1,0,1,1,1,5000.0,4,4
59926549,0,106804504,41,1,0,1,2,2,5000.0,1,1
63921331,0,106811536,23,1,0,1,0,0,5000.0,1,0
61521365,0,106807752,45,1,0,1,2,2,5000.0,1,0
62074461,0,106808736,47,1,0,1,1,0,5000.0,1,0
75286543,0,106819547,58,0,1,0,1,0,5000.0,2,1
66673949,0,106814472,41,1,0,1,1,1,5000.0,2,2
66761026,0,106814768,34,1,0,1,2,2,5000.0,1,1
75202948,1,106819405,30,1,0,1,1,1,5000.0,1,0
75202948,1,106819405,30,1,0,1,1,1,5000.0,1,0
74527156,0,106818326,39,1,0,1,3,2,5000.0,1,1
75279520,0,106819505,23,1,0,1,0,0,5000.0,1,0
65400817,0,106813322,24,1,0,1,0,0,5000.0,1,1
62373727,0,106809531,65,0,1,1,0,0,5000.0,1,0
63086147,0,106810768,32,1,0,1,1,1,5000.0,1,0
66741179,0,106814603,35,1,0,1,2,2,5000.0,3,2
61958911,1,106808387,56,0,1,1,6,0,5000.0,2,0
62379401,0,106809567,43,1,0,1,2,1,5000.0,1,0
65407639,0,106813360,25,1,0,1,1,1,5000.0,1,1
60093052,0,106805047,62,0,1,1,0,0,5000.0,1,0
61936051,0,106808296,44,1,0,1,1,0,5000.0,1,1
75200824,0,106819391,38,1,0,1,0,0,5000.0,2,2
74012647,0,106817661,55,0,1,1,0,0,5000.0,1,1
60455816,0,106805615,25,1,0,0,0,0,5000.0,1,0
61257180,0,106806817,33,1,0,1,2,2,5000.0,1,1
